title,top genre,year released,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top year
Loca People - Radio Edit,electro house,2011.0,128.0,81.0,93.0,-3.0,5.0,70.0,216.0,0.0,6.0,45.0,2011.0
Love You Like A Love Song,dance pop,2011.0,117.0,68.0,86.0,-4.0,7.0,92.0,188.0,8.0,5.0,85.0,2011.0
Who Says,dance pop,2011.0,101.0,93.0,68.0,-3.0,15.0,74.0,196.0,8.0,5.0,81.0,2011.0
Sweat - Remix,g funk,2011.0,130.0,73.0,81.0,-6.0,8.0,73.0,196.0,6.0,3.0,73.0,2011.0
Save The World,dance pop,2011.0,127.0,67.0,51.0,-8.0,8.0,40.0,213.0,1.0,5.0,70.0,2011.0
Higher,dance pop,2011.0,128.0,92.0,67.0,-5.0,13.0,70.0,188.0,0.0,8.0,51.0,2011.0
Glad You Came,boy band,2011.0,127.0,85.0,72.0,-4.0,11.0,45.0,198.0,3.0,6.0,83.0,2011.0
More - RedOne Jimmy Joker Remix,atl hip hop,2010.0,125.0,89.0,55.0,-3.0,35.0,79.0,220.0,0.0,5.0,72.0,2011.0
Black and Yellow,dance pop,2011.0,164.0,83.0,68.0,-5.0,27.0,54.0,218.0,6.0,7.0,80.0,2011.0
Roll Up,dance pop,2011.0,125.0,81.0,52.0,-5.0,9.0,60.0,228.0,5.0,19.0,68.0,2011.0
Skyfall,british soul,2012.0,76.0,55.0,35.0,-7.0,11.0,8.0,286.0,42.0,3.0,80.0,2012.0
Rumour Has It,british soul,2011.0,120.0,75.0,61.0,-5.0,17.0,57.0,223.0,62.0,4.0,72.0,2012.0
Years,dance pop,2013.0,128.0,82.0,37.0,-6.0,17.0,32.0,195.0,0.0,8.0,53.0,2012.0
Too Close,modern alternative rock,2011.0,126.0,71.0,58.0,-4.0,11.0,29.0,257.0,1.0,4.0,67.0,2012.0
Breezeblocks,indie rock,2012.0,150.0,66.0,62.0,-7.0,21.0,29.0,227.0,10.0,3.0,77.0,2012.0
R U Mine?,garage rock,2012.0,97.0,79.0,52.0,-5.0,70.0,68.0,200.0,5.0,3.0,39.0,2012.0
One Day / Reckoning Song (Wankelmut Remix) - Radio Edit,israeli pop,2012.0,119.0,67.0,83.0,-6.0,17.0,53.0,215.0,22.0,6.0,72.0,2012.0
Levels - Radio Edit,dance pop,2011.0,126.0,89.0,58.0,-6.0,31.0,46.0,200.0,5.0,3.0,82.0,2012.0
Silhouettes - Original Radio Edit,dance pop,2012.0,128.0,80.0,61.0,-6.0,12.0,84.0,212.0,16.0,5.0,68.0,2012.0
212,dance pop,2014.0,126.0,77.0,85.0,-6.0,8.0,62.0,205.0,1.0,26.0,73.0,2012.0
So Good,atl hip hop,2012.0,86.0,90.0,66.0,-5.0,22.0,59.0,213.0,4.0,14.0,70.0,2012.0
Locked out of Heaven,dance pop,2012.0,144.0,70.0,73.0,-4.0,31.0,87.0,233.0,5.0,4.0,91.0,2012.0
It Will Rain,dance pop,2011.0,150.0,84.0,58.0,-7.0,8.0,48.0,258.0,34.0,5.0,74.0,2012.0
Feel So Close - Radio Edit,dance pop,2012.0,128.0,92.0,71.0,-3.0,20.0,92.0,206.0,0.0,3.0,85.0,2012.0
Let's Go (feat. Ne-Yo),dance pop,2012.0,128.0,88.0,71.0,-3.0,29.0,88.0,233.0,1.0,6.0,71.0,2012.0
We'll Be Coming Back (feat. Example),dance pop,2012.0,128.0,95.0,60.0,-4.0,60.0,57.0,234.0,0.0,9.0,68.0,2012.0
Call Me Maybe,canadian pop,2012.0,120.0,58.0,78.0,-7.0,11.0,66.0,193.0,1.0,4.0,76.0,2012.0
Blown Away,contemporary country,2012.0,137.0,84.0,53.0,-3.0,3.0,39.0,240.0,9.0,4.0,68.0,2012.0
Want U Back,dance pop,2012.0,98.0,89.0,69.0,-3.0,56.0,56.0,215.0,6.0,9.0,71.0,2012.0
Turn Up the Music,dance pop,2012.0,130.0,84.0,59.0,-6.0,16.0,64.0,228.0,0.0,10.0,69.0,2012.0
Princess of China,permanent wave,2011.0,85.0,69.0,42.0,-6.0,29.0,24.0,239.0,0.0,3.0,72.0,2012.0
Turn Me On (feat. Nicki Minaj),big room,2011.0,128.0,79.0,71.0,-2.0,57.0,41.0,200.0,5.0,6.0,64.0,2012.0
In The Dark,dance pop,2012.0,125.0,82.0,74.0,-4.0,33.0,44.0,226.0,0.0,7.0,62.0,2012.0
Latch,edm,2013.0,122.0,74.0,73.0,-5.0,9.0,54.0,256.0,2.0,9.0,75.0,2012.0
Hot Right Now - Edit,dancefloor dnb,2010.0,175.0,96.0,51.0,-2.0,12.0,39.0,179.0,1.0,4.0,41.0,2012.0
Take Care,canadian hip hop,2011.0,122.0,52.0,63.0,-10.0,9.0,30.0,277.0,3.0,27.0,81.0,2012.0
The Motto,canadian hip hop,2011.0,202.0,44.0,77.0,-9.0,11.0,39.0,182.0,0.0,36.0,79.0,2012.0
Lights - Single Version,dance pop,2010.0,120.0,80.0,68.0,-6.0,13.0,78.0,211.0,3.0,4.0,68.0,2012.0
Good Feeling,dance pop,2012.0,128.0,89.0,71.0,-4.0,31.0,68.0,248.0,6.0,7.0,81.0,2012.0
Spectrum (Say My Name) - Calvin Harris Remix,baroque pop,2012.0,126.0,95.0,58.0,-4.0,10.0,59.0,218.0,0.0,5.0,59.0,2012.0
Lost,alternative r&b,2012.0,123.0,60.0,91.0,-5.0,17.0,50.0,234.0,3.0,23.0,91.0,2012.0
Thinkin Bout You,alternative r&b,2012.0,130.0,34.0,72.0,-11.0,10.0,20.0,201.0,41.0,5.0,81.0,2012.0
We Are Young (feat. Janelle Monáe),baroque pop,2012.0,184.0,64.0,38.0,-6.0,8.0,74.0,251.0,2.0,8.0,79.0,2012.0
Some Nights,baroque pop,2012.0,108.0,74.0,67.0,-7.0,9.0,39.0,277.0,2.0,5.0,76.0,2012.0
Somebody That I Used To Know,australian pop,2011.0,129.0,50.0,86.0,-7.0,10.0,72.0,245.0,59.0,4.0,81.0,2012.0
Oblivion,art pop,2012.0,156.0,53.0,70.0,-9.0,9.0,49.0,251.0,12.0,3.0,71.0,2012.0
Ass Back Home (feat. Neon Hitch),dance pop,2011.0,130.0,84.0,72.0,-4.0,15.0,65.0,222.0,13.0,5.0,67.0,2012.0
I Love It (feat. Charli XCX),candy pop,2013.0,126.0,91.0,71.0,-3.0,15.0,82.0,157.0,1.0,3.0,74.0,2012.0
It's Time,modern rock,2012.0,105.0,88.0,66.0,-5.0,14.0,86.0,238.0,2.0,4.0,72.0,2012.0
On Top Of The World,modern rock,2012.0,100.0,93.0,64.0,-6.0,9.0,76.0,190.0,9.0,15.0,72.0,2012.0
Ni**as In Paris,east coast hip hop,2011.0,140.0,86.0,79.0,-6.0,35.0,78.0,219.0,13.0,31.0,88.0,2012.0
Boyfriend,canadian pop,2012.0,97.0,55.0,72.0,-6.0,13.0,33.0,171.0,4.0,5.0,68.0,2012.0
Mercy,chicago rap,2012.0,140.0,50.0,56.0,-9.0,17.0,43.0,329.0,7.0,41.0,79.0,2012.0
Brokenhearted,dance pop,2012.0,120.0,77.0,77.0,-3.0,5.0,89.0,227.0,1.0,6.0,70.0,2012.0
The One That Got Away,dance pop,2012.0,134.0,79.0,69.0,-4.0,20.0,86.0,227.0,0.0,4.0,78.0,2012.0
Part Of Me,dance pop,2012.0,130.0,92.0,68.0,-5.0,7.0,77.0,216.0,0.0,4.0,78.0,2012.0
Swimming Pools (Drank) - Extended Version,conscious hip hop,2012.0,74.0,49.0,72.0,-8.0,60.0,26.0,314.0,12.0,40.0,76.0,2012.0
m.A.A.d city,conscious hip hop,2012.0,91.0,73.0,49.0,-7.0,44.0,22.0,350.0,5.0,27.0,73.0,2012.0
Die Young,dance pop,2012.0,128.0,70.0,71.0,-5.0,22.0,80.0,212.0,0.0,5.0,83.0,2012.0
C'Mon,dance pop,2012.0,126.0,78.0,56.0,-5.0,10.0,29.0,214.0,1.0,10.0,67.0,2012.0
Ride,art pop,2012.0,94.0,69.0,37.0,-6.0,38.0,19.0,289.0,13.0,3.0,64.0,2012.0
Video Games,art pop,2012.0,122.0,25.0,39.0,-10.0,9.0,18.0,282.0,81.0,3.0,63.0,2012.0
Born To Die,art pop,2012.0,86.0,63.0,39.0,-7.0,20.0,40.0,286.0,20.0,4.0,62.0,2012.0
BURN IT DOWN,alternative metal,2012.0,110.0,97.0,59.0,-4.0,7.0,59.0,230.0,1.0,5.0,79.0,2012.0
Battle Scars (with Guy Sebastian),chicago rap,2012.0,168.0,81.0,52.0,-5.0,11.0,49.0,250.0,19.0,29.0,74.0,2012.0
Primadonna,art pop,2012.0,128.0,69.0,66.0,-3.0,9.0,43.0,221.0,9.0,3.0,84.0,2012.0
How to Be a Heartbreaker,art pop,2012.0,140.0,90.0,69.0,-5.0,11.0,85.0,221.0,1.0,5.0,77.0,2012.0
One More Night,pop,2012.0,93.0,82.0,72.0,-3.0,8.0,61.0,219.0,4.0,3.0,74.0,2012.0
Payphone,pop,2012.0,110.0,76.0,74.0,-5.0,37.0,52.0,231.0,1.0,4.0,69.0,2012.0
Adorn,dance pop,2012.0,179.0,58.0,63.0,-6.0,19.0,24.0,193.0,5.0,18.0,72.0,2012.0
Madness,modern rock,2012.0,180.0,42.0,50.0,-8.0,11.0,22.0,281.0,13.0,7.0,72.0,2012.0
Everybody Talks,modern alternative rock,2012.0,155.0,92.0,47.0,-4.0,31.0,73.0,177.0,0.0,6.0,85.0,2012.0
Starships,dance pop,2011.0,125.0,72.0,75.0,-2.0,25.0,75.0,211.0,14.0,8.0,78.0,2012.0
Pound The Alarm,dance pop,2012.0,125.0,86.0,73.0,-4.0,2.0,59.0,206.0,4.0,6.0,69.0,2012.0
Dirty Paws,folk-pop,2012.0,112.0,65.0,36.0,-7.0,6.0,13.0,278.0,11.0,3.0,74.0,2012.0
Troublemaker (feat. Flo Rida),dance pop,2012.0,106.0,86.0,76.0,-4.0,13.0,97.0,186.0,2.0,6.0,80.0,2012.0
What Makes You Beautiful,boy band,2012.0,125.0,79.0,73.0,-2.0,6.0,89.0,200.0,1.0,7.0,88.0,2012.0
Live While We're Young,boy band,2012.0,126.0,86.0,66.0,-2.0,14.0,93.0,200.0,5.0,5.0,79.0,2012.0
Million Voices - Radio Edit,edm,2012.0,126.0,89.0,58.0,-6.0,7.0,7.0,193.0,0.0,4.0,75.0,2012.0
Good Time,indietronica,2012.0,126.0,87.0,56.0,-4.0,37.0,68.0,206.0,2.0,14.0,82.0,2012.0
Blow Me (One Last Kiss),dance pop,2012.0,114.0,92.0,60.0,-3.0,28.0,73.0,256.0,0.0,4.0,71.0,2012.0
Take a Walk,alternative dance,2012.0,101.0,76.0,57.0,-6.0,32.0,45.0,264.0,3.0,4.0,74.0,2012.0
"Gone, Gone, Gone",folk-pop,2013.0,118.0,64.0,66.0,-6.0,11.0,50.0,210.0,13.0,4.0,76.0,2012.0
Home,folk-pop,2013.0,121.0,83.0,61.0,-6.0,12.0,32.0,210.0,3.0,3.0,73.0,2012.0
Gangnam Style (강남스타일),k-pop,2012.0,132.0,94.0,73.0,-3.0,9.0,75.0,219.0,0.0,29.0,77.0,2012.0
Where Have You Been,barbadian pop,2011.0,128.0,85.0,72.0,-6.0,22.0,44.0,243.0,0.0,9.0,76.0,2012.0
R.I.P. (feat. Tinie Tempah),dance pop,2012.0,72.0,83.0,61.0,-3.0,65.0,35.0,228.0,3.0,5.0,52.0,2012.0
Mama Do The Hump,uk hip hop,2011.0,98.0,89.0,72.0,-4.0,7.0,56.0,216.0,1.0,13.0,61.0,2012.0
Candy,dance pop,2012.0,116.0,79.0,72.0,-7.0,7.0,88.0,201.0,4.0,4.0,73.0,2012.0
Feel the Love (feat. John Newman),dance pop,2013.0,180.0,71.0,39.0,-7.0,69.0,24.0,245.0,0.0,6.0,52.0,2012.0
Hands on the Wheel (feat. Asap Rocky),gangster rap,2012.0,128.0,78.0,65.0,-7.0,7.0,18.0,197.0,2.0,11.0,67.0,2012.0
Bangarang (feat. Sirah),brostep,2011.0,110.0,97.0,72.0,-2.0,32.0,58.0,215.0,1.0,20.0,75.0,2012.0
"Young, Wild & Free (feat. Bruno Mars)",g funk,2011.0,95.0,66.0,72.0,-6.0,12.0,53.0,207.0,5.0,14.0,82.0,2012.0
Don't You Worry Child - Radio Edit,dance pop,2012.0,129.0,84.0,61.0,-3.0,12.0,44.0,213.0,11.0,5.0,81.0,2012.0
I Knew You Were Trouble.,pop,2012.0,77.0,47.0,62.0,-7.0,3.0,68.0,220.0,0.0,4.0,82.0,2012.0
We Are Never Ever Getting Back Together,pop,2012.0,86.0,68.0,63.0,-6.0,12.0,75.0,193.0,1.0,9.0,80.0,2012.0
Ho Hey,folk-pop,2012.0,80.0,47.0,69.0,-9.0,9.0,35.0,163.0,79.0,3.0,77.0,2012.0
Chasing The Sun,boy band,2012.0,128.0,73.0,64.0,-6.0,50.0,68.0,199.0,24.0,10.0,74.0,2012.0
Angels,downtempo,2012.0,92.0,16.0,42.0,-18.0,10.0,34.0,172.0,95.0,4.0,68.0,2012.0
Drive By,dance pop,2012.0,122.0,84.0,77.0,-3.0,8.0,72.0,196.0,0.0,3.0,82.0,2012.0
50 Ways to Say Goodbye,dance pop,2012.0,140.0,94.0,59.0,-3.0,14.0,74.0,248.0,0.0,5.0,73.0,2012.0
Heart Attack,dance pop,2012.0,150.0,86.0,61.0,-5.0,23.0,48.0,233.0,6.0,13.0,61.0,2012.0
Rack City,dance pop,2012.0,99.0,34.0,93.0,-11.0,19.0,27.0,203.0,4.0,37.0,67.0,2012.0
Faded,dance pop,2012.0,95.0,67.0,83.0,-8.0,35.0,34.0,207.0,1.0,19.0,63.0,2012.0
Climax,atl hip hop,2012.0,136.0,48.0,65.0,-9.0,16.0,33.0,233.0,55.0,8.0,65.0,2012.0
Anna Sun,dance pop,2012.0,140.0,84.0,47.0,-7.0,24.0,34.0,321.0,0.0,5.0,68.0,2012.0
"Work Hard, Play Hard",dance pop,2012.0,140.0,67.0,79.0,-4.0,30.0,49.0,219.0,4.0,5.0,67.0,2012.0
We Own It (Fast & Furious),atl hip hop,2013.0,172.0,90.0,56.0,-5.0,5.0,56.0,228.0,5.0,40.0,75.0,2013.0
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",east coast hip hop,2013.0,96.0,69.0,85.0,-7.0,11.0,66.0,234.0,2.0,28.0,81.0,2013.0
Why'd You Only Call Me When You're High?,garage rock,2013.0,92.0,63.0,69.0,-6.0,10.0,80.0,161.0,5.0,4.0,90.0,2013.0
Do I Wanna Know?,garage rock,2013.0,85.0,53.0,55.0,-8.0,22.0,41.0,272.0,19.0,3.0,89.0,2013.0
The Way,dance pop,2013.0,82.0,88.0,65.0,-3.0,8.0,86.0,227.0,29.0,11.0,71.0,2013.0
Wake Me Up,dance pop,2013.0,124.0,78.0,53.0,-6.0,16.0,64.0,247.0,0.0,5.0,89.0,2013.0
I Could Be The One (Avicii Vs. Nicky Romero) - Radio Edit,dance pop,2012.0,128.0,79.0,51.0,-4.0,32.0,64.0,208.0,33.0,4.0,73.0,2013.0
Here's to Never Growing Up,canadian pop,2013.0,165.0,87.0,48.0,-3.0,41.0,74.0,214.0,1.0,9.0,75.0,2013.0
Sail,la indie,2011.0,119.0,44.0,83.0,-10.0,10.0,27.0,259.0,44.0,6.0,80.0,2013.0
Harlem Shake,bass trap,2013.0,138.0,79.0,45.0,-5.0,42.0,28.0,197.0,1.0,5.0,63.0,2013.0
Pompeii,metropopolis,2013.0,127.0,72.0,68.0,-6.0,27.0,57.0,214.0,8.0,4.0,80.0,2013.0
Of The Night,metropopolis,2013.0,125.0,83.0,67.0,-7.0,9.0,35.0,214.0,2.0,4.0,66.0,2013.0
Get Up (Rattle),big room,2013.0,128.0,98.0,80.0,-3.0,26.0,80.0,167.0,2.0,7.0,61.0,2013.0
Sure Be Cool If You Did,contemporary country,2013.0,137.0,73.0,58.0,-5.0,11.0,58.0,216.0,26.0,4.0,61.0,2013.0
Ready or Not,dance pop,2012.0,93.0,87.0,72.0,-4.0,11.0,75.0,201.0,0.0,5.0,77.0,2013.0
Work Bitch,dance pop,2013.0,128.0,82.0,63.0,-7.0,7.0,85.0,248.0,16.0,16.0,76.0,2013.0
When I Was Your Man,dance pop,2012.0,73.0,28.0,61.0,-9.0,9.0,39.0,214.0,93.0,4.0,89.0,2013.0
Treasure,dance pop,2012.0,116.0,69.0,87.0,-5.0,32.0,94.0,179.0,4.0,4.0,83.0,2013.0
Sweet Nothing (feat. Florence Welch),dance pop,2012.0,128.0,93.0,57.0,-4.0,6.0,58.0,213.0,20.0,11.0,76.0,2013.0
I Need Your Love (feat. Ellie Goulding),dance pop,2012.0,125.0,87.0,70.0,-5.0,24.0,58.0,235.0,41.0,5.0,75.0,2013.0
Thinking About You (feat. Ayah Marar),dance pop,2012.0,128.0,87.0,73.0,-4.0,10.0,75.0,248.0,0.0,4.0,71.0,2013.0
Drinking from the Bottle (feat. Tinie Tempah),dance pop,2012.0,128.0,89.0,67.0,-4.0,5.0,53.0,240.0,5.0,5.0,67.0,2013.0
Safe And Sound,metropopolis,2013.0,118.0,82.0,66.0,-5.0,10.0,77.0,193.0,0.0,3.0,87.0,2013.0
3005,atl hip hop,2013.0,166.0,45.0,47.0,-7.0,9.0,64.0,234.0,11.0,33.0,83.0,2013.0
Fine China,dance pop,2014.0,104.0,73.0,65.0,-5.0,12.0,59.0,213.0,4.0,6.0,66.0,2013.0
The Mother We Share,electropop,2013.0,174.0,69.0,46.0,-6.0,13.0,34.0,191.0,3.0,3.0,61.0,2013.0
Body Party,dance pop,2013.0,134.0,58.0,58.0,-6.0,60.0,12.0,234.0,1.0,6.0,70.0,2013.0
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,electro,2013.0,116.0,81.0,79.0,-9.0,10.0,86.0,248.0,4.0,4.0,88.0,2013.0
Lose Yourself to Dance (feat. Pharrell Williams),electro,2013.0,100.0,66.0,83.0,-8.0,8.0,67.0,354.0,8.0,6.0,74.0,2013.0
Play Hard (feat. Ne-Yo & Akon),big room,2011.0,130.0,92.0,69.0,-2.0,33.0,80.0,201.0,17.0,5.0,65.0,2013.0
White Noise,edm,2013.0,120.0,85.0,68.0,-6.0,35.0,87.0,278.0,1.0,5.0,54.0,2013.0
"Hold On, We're Going Home",canadian hip hop,2013.0,100.0,41.0,78.0,-7.0,7.0,29.0,228.0,0.0,9.0,76.0,2013.0
Started From the Bottom,canadian hip hop,2013.0,86.0,52.0,79.0,-8.0,16.0,58.0,174.0,3.0,16.0,71.0,2013.0
Need U (100%) (feat. A*M*E) - Radio Edit,destroy techno,2013.0,124.0,85.0,67.0,-5.0,39.0,46.0,174.0,0.0,5.0,65.0,2013.0
The Monster,detroit hip hop,2013.0,110.0,85.0,78.0,-4.0,12.0,62.0,250.0,5.0,7.0,81.0,2013.0
Berzerk,detroit hip hop,2013.0,95.0,87.0,74.0,-4.0,26.0,68.0,239.0,2.0,33.0,72.0,2013.0
My Songs Know What You Did In The Dark (Light Em Up),emo,2013.0,152.0,92.0,56.0,-4.0,54.0,57.0,187.0,3.0,6.0,77.0,2013.0
I Cry,dance pop,2012.0,126.0,82.0,69.0,-5.0,32.0,76.0,224.0,1.0,4.0,69.0,2013.0
Cruise,contemporary country,2012.0,148.0,95.0,46.0,-3.0,5.0,88.0,209.0,2.0,4.0,63.0,2013.0
Demons,modern rock,2012.0,90.0,71.0,51.0,-3.0,33.0,43.0,175.0,19.0,3.0,78.0,2013.0
Radioactive,modern rock,2012.0,136.0,78.0,45.0,-4.0,67.0,24.0,187.0,11.0,6.0,77.0,2013.0
Power Trip (feat. Miguel),conscious hip hop,2013.0,100.0,61.0,67.0,-7.0,43.0,48.0,241.0,32.0,22.0,81.0,2013.0
Talk Dirty (feat. 2 Chainz),dance pop,2013.0,100.0,65.0,76.0,-7.0,31.0,76.0,178.0,3.0,23.0,71.0,2013.0
The Other Side,dance pop,2013.0,128.0,84.0,56.0,-4.0,14.0,52.0,227.0,5.0,10.0,66.0,2013.0
Holy Grail,east coast hip hop,2013.0,145.0,53.0,68.0,-7.0,26.0,16.0,338.0,6.0,8.0,68.0,2013.0
Love Me Again,dance pop,2013.0,126.0,89.0,50.0,-5.0,10.0,21.0,240.0,0.0,4.0,69.0,2013.0
Beauty And A Beat,canadian pop,2012.0,128.0,84.0,60.0,-5.0,7.0,53.0,228.0,0.0,6.0,78.0,2013.0
Mirrors,dance pop,2013.0,77.0,51.0,57.0,-7.0,9.0,51.0,484.0,23.0,5.0,83.0,2013.0
Suit & Tie (feat. Jay-Z),dance pop,2013.0,102.0,60.0,80.0,-4.0,16.0,36.0,326.0,10.0,22.0,72.0,2013.0
Black Skinhead,chicago rap,2013.0,130.0,81.0,77.0,-6.0,17.0,33.0,188.0,0.0,28.0,80.0,2013.0
This Is How We Do,dance pop,2013.0,96.0,64.0,69.0,-6.0,15.0,80.0,204.0,2.0,5.0,66.0,2013.0
Sonnentanz - Sun Don't Shine,austrian pop,2013.0,120.0,54.0,59.0,-8.0,11.0,17.0,236.0,11.0,9.0,56.0,2013.0
All I Want,irish pop,2013.0,187.0,41.0,19.0,-10.0,8.0,16.0,306.0,17.0,5.0,86.0,2013.0
High Hopes,irish pop,2013.0,77.0,49.0,49.0,-6.0,19.0,22.0,230.0,58.0,3.0,73.0,2013.0
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,art pop,2013.0,126.0,81.0,57.0,-6.0,13.0,11.0,215.0,2.0,6.0,78.0,2013.0
Love Me,hip hop,2013.0,125.0,63.0,67.0,-6.0,9.0,50.0,255.0,1.0,3.0,73.0,2013.0
Somewhere Only We Know,dance pop,2014.0,81.0,29.0,31.0,-11.0,10.0,29.0,209.0,93.0,3.0,56.0,2013.0
Royals,art pop,2013.0,85.0,43.0,67.0,-10.0,13.0,34.0,190.0,12.0,12.0,83.0,2013.0
Team,art pop,2013.0,100.0,58.0,69.0,-7.0,31.0,42.0,193.0,17.0,9.0,82.0,2013.0
Can't Hold Us (feat. Ray Dalton),dance pop,2012.0,146.0,92.0,64.0,-4.0,9.0,85.0,258.0,3.0,8.0,87.0,2013.0
Thrift Shop (feat. Wanz),dance pop,2012.0,95.0,53.0,78.0,-7.0,5.0,67.0,236.0,6.0,29.0,79.0,2013.0
Same Love (feat. Mary Lambert),dance pop,2012.0,85.0,47.0,69.0,-9.0,10.0,30.0,319.0,72.0,17.0,69.0,2013.0
Daylight,pop,2012.0,120.0,68.0,66.0,-6.0,21.0,33.0,225.0,0.0,3.0,66.0,2013.0
Animals - Radio Edit,dance pop,2016.0,128.0,91.0,59.0,-5.0,7.0,4.0,176.0,0.0,4.0,64.0,2013.0
It's a Beautiful Day,adult standards,2013.0,144.0,80.0,53.0,-4.0,30.0,78.0,199.0,6.0,4.0,71.0,2013.0
We Can't Stop,dance pop,2013.0,80.0,62.0,61.0,-6.0,37.0,48.0,231.0,1.0,3.0,83.0,2013.0
I Will Wait,modern folk rock,2012.0,131.0,76.0,48.0,-5.0,31.0,45.0,277.0,1.0,3.0,73.0,2013.0
La La La,tropical house,2013.0,125.0,68.0,75.0,-4.0,11.0,25.0,221.0,11.0,3.0,63.0,2013.0
Hey Porsche,dance pop,2013.0,116.0,79.0,73.0,-5.0,65.0,95.0,209.0,15.0,3.0,49.0,2013.0
Little Talks,folk-pop,2012.0,103.0,76.0,46.0,-5.0,15.0,42.0,267.0,2.0,3.0,85.0,2013.0
Best Song Ever,boy band,2013.0,118.0,88.0,65.0,-3.0,8.0,49.0,200.0,2.0,5.0,81.0,2013.0
One Way or Another (Teenage Kicks),boy band,2013.0,162.0,87.0,49.0,-3.0,59.0,41.0,157.0,3.0,7.0,71.0,2013.0
True Love (feat. Lily Allen),dance pop,2012.0,192.0,82.0,46.0,-5.0,11.0,58.0,231.0,0.0,31.0,76.0,2013.0
Still into You,candy pop,2013.0,136.0,92.0,60.0,-4.0,6.0,77.0,216.0,1.0,4.0,85.0,2013.0
Ain't It Fun,candy pop,2013.0,104.0,89.0,61.0,-4.0,2.0,67.0,297.0,15.0,9.0,78.0,2013.0
Feel This Moment (feat. Christina Aguilera),dance pop,2012.0,136.0,76.0,67.0,-4.0,34.0,54.0,230.0,4.0,16.0,82.0,2013.0
Don't Stop the Party (feat. TJR),dance pop,2012.0,127.0,96.0,72.0,-4.0,38.0,95.0,206.0,1.0,9.0,69.0,2013.0
Blurred Lines,contemporary r&b,2013.0,120.0,50.0,86.0,-8.0,8.0,88.0,263.0,0.0,5.0,61.0,2013.0
Waiting All Night (feat. Ella Eyre),dance pop,2013.0,175.0,73.0,54.0,-5.0,43.0,28.0,293.0,0.0,5.0,50.0,2013.0
Reload - Radio Edit,dance pop,2013.0,128.0,72.0,49.0,-5.0,6.0,43.0,221.0,7.0,5.0,73.0,2013.0
